"V1","V2"
"2","Jerry Cruncher"
"2","Jarvis Lorry"
"4","Doctor Manette"
"4","Jarvis Lorry"
"5","Doctor Manette"
"5","Ernest Defarge"
"5","Jarvis Lorry"
"5","Thérèse Defarge"
"3","Jerry Cruncher"
"6","Jarvis Lorry"
"7","Jerry Cruncher"
"6","Doctor Manette"
"8","Jarvis Lorry"
"8","Jerry Cruncher"
"8","Charles St Evrémonde"
"9","Doctor Manette"
"9","Jarvis Lorry"
"9","Mr Stryver"
"9","Sydney Carton"
"10","Doctor Manette"
"10","Mr Stryver"
"10","Sydney Carton"
"10","Charles St Evrémonde"
"11","Doctor Manette"
"10","Jarvis Lorry"
"9","Jerry Cruncher"
"10","Lucie Manette"
"9","Solomon Pross"
"11","Sydney Carton"
"6","Ernest Defarge"
"12","Charles St Evrémonde"
"13","Marquis St Evrémonde II"
"14","Charles St Evrémonde"
"5","Jacques"
"14","Marquis St Evrémonde II"
"14","Théophile Gabelle"
"15","Charles St Evrémonde"
"12","Doctor Manette"
"12","Lucie Manette"
"12","Miss Pross"
"11","Mr Stryver"
"12","Sydney Carton"
"16","Doctor Manette"
"16","Mr Stryver"
"16","Sydney Carton"
"17","Doctor Manette"
"12","Jarvis Lorry"
"17","Mr Stryver"
"18","Doctor Manette"
"16","Lucie Manette"
"18","Mr Stryver"
"17","Sydney Carton"
"12","Jerry Cruncher"
"7","Mrs Cruncher"
"9","Roger Cly"
"13","Ernest Defarge"
"15","Jacques"
"15","Marquis St Evrémonde II"
"6","Thérèse Defarge"
"16","Charles St Evrémonde"
"19","Doctor Manette"
"21","Ernest Defarge"
"5","Gaspard"
"21","Jacques"
"21","Marquis St Evrémonde II"
"12","Solomon Pross"
"21","Thérèse Defarge"
"22","Charles St Evrémonde"
"22","Doctor Manette"
"18","Jarvis Lorry"
"19","Lucie Manette"
"16","Miss Pross"
"23","Charles St Evrémonde"
"23","Doctor Manette"
"22","Ernest Defarge"
"23","Jarvis Lorry"
"23","Lucie Manette"
"23","Miss Pross"
"22","Solomon Pross"
"24","Doctor Manette"
"24","Jarvis Lorry"
"24","Lucie Manette"
"24","Miss Pross"
"24","Charles St Evrémonde"
"25","Jarvis Lorry"
"25","Miss Pross"
"19","Mr Stryver"
"19","Sydney Carton"
"26","Charles St Evrémonde"
"25","Doctor Manette"
"24","Ernest Defarge"
"22","Jacques"
"26","Jarvis Lorry"
"25","Lucie Manette"
"26","Miss Pross"
"26","Mr Stryver"
"26","Sydney Carton"
"22","Thérèse Defarge"
"27","Ernest Defarge"
"27","Jacques"
"27","Thérèse Defarge"
"28","Jacques"
"22","Marquis St Evrémonde II"
"15","Théophile Gabelle"
"27","Charles St Evrémonde"
"27","Doctor Manette"
"27","Jarvis Lorry"
"20","Jerry Cruncher"
"27","Lucie Manette"
"29","Marquis St Evrémonde II"
"27","Mr Stryver"
"29","Théophile Gabelle"
"30","Charles St Evrémonde"
"30","Doctor Manette"
"28","Ernest Defarge"
"30","Jarvis Lorry"
"30","Théophile Gabelle"
"31","Charles St Evrémonde"
"31","Doctor Manette"
"31","Jarvis Lorry"
"30","Lucie Manette"
"30","Marquis St Evrémonde II"
"27","Miss Pross"
"32","Charles St Evrémonde"
"32","Doctor Manette"
"31","Ernest Defarge"
"32","Jarvis Lorry"
"30","Jerry Cruncher"
"32","Lucie Manette"
"32","Miss Pross"
"28","The Vengeance"
"28","Thérèse Defarge"
"33","Charles St Evrémonde"
"33","Doctor Manette"
"33","Ernest Defarge"
"33","Jarvis Lorry"
"33","Lucie Manette"
"34","Charles St Evrémonde"
"34","Jarvis Lorry"
"34","Lucie Manette"
"32","Marquis St Evrémonde II"
"33","The Vengeance"
"33","Thérèse Defarge"
"35","Charles St Evrémonde"
"34","Doctor Manette"
"34","Ernest Defarge"
"35","Jarvis Lorry"
"35","Lucie Manette"
"33","Miss Pross"
"31","Théophile Gabelle"
"36","Charles St Evrémonde"
"36","Doctor Manette"
"36","Ernest Defarge"
"36","Jarvis Lorry"
"33","Jerry Cruncher"
"36","Lucie Manette"
"36","Miss Pross"
"24","Solomon Pross"
"37","Charles St Evrémonde"
"37","Doctor Manette"
"37","Ernest Defarge"
"37","Jarvis Lorry"
"37","Jerry Cruncher"
"37","Miss Pross"
"20","Roger Cly"
"37","Solomon Pross"
"27","Sydney Carton"
"35","Thérèse Defarge"
"38","Charles St Evrémonde"
"38","Doctor Manette"
"38","Ernest Defarge"
"29","Jacques"
"38","Jarvis Lorry"
"38","Jerry Cruncher"
"37","Lucie Manette"
"20","Mrs Cruncher"
"38","Solomon Pross"
"38","Sydney Carton"
"35","The Vengeance"
"38","Thérèse Defarge"
"39","Doctor Manette"
"39","Ernest Defarge"
"35","Marquis St Evrémonde II"
"39","The Vengeance"
"39","Thérèse Defarge"
"39","Charles St Evrémonde"
"40","Doctor Manette"
"39","Jarvis Lorry"
"39","Lucie Manette"
"38","Miss Pross"
"39","Solomon Pross"
"39","Sydney Carton"
"41","Charles St Evrémonde"
"41","Doctor Manette"
"40","Ernest Defarge"
"39","Jacques"
"41","Jarvis Lorry"
"41","Lucie Manette"
"40","Marquis St Evrémonde II"
"41","Sydney Carton"
"40","The Vengeance"
"40","Thérèse Defarge"
"42","Charles St Evrémonde"
"42","Doctor Manette"
"42","Jarvis Lorry"
"42","Lucie Manette"
"41","Solomon Pross"
"42","Sydney Carton"
"43","Charles St Evrémonde"
"42","Ernest Defarge"
"42","Jacques"
"43","Jarvis Lorry"
"39","Jerry Cruncher"
"43","Lucie Manette"
"41","Miss Pross"
"39","Mrs Cruncher"
"43","Solomon Pross"
"42","The Vengeance"
"42","Thérèse Defarge"
"44","Charles St Evrémonde"
"44","Ernest Defarge"
"38","Roger Cly"
"44","Solomon Pross"
"43","Sydney Carton"
"44","The Vengeance"
"44","Thérèse Defarge"
