"Character","Node","Appearances"
"Alex Macstinger",114,7
"Alex Macstinger",378,7
"Alex Macstinger",245,7
"Alex Macstinger",379,7
"Alex Macstinger",149,7
"Alex Macstinger",147,7
"Alex Macstinger",160,7
"Alice Brown",216,16
"Alice Brown",365,16
"Alice Brown",320,16
"Alice Brown",325,16
"Alice Brown",332,16
"Alice Brown",281,16
"Alice Brown",364,16
"Alice Brown",322,16
"Alice Brown",282,16
"Alice Brown",217,16
"Alice Brown",363,16
"Alice Brown",333,16
"Alice Brown",323,16
"Alice Brown",218,16
"Alice Brown",215,16
"Alice Brown",219,16
"Anne",366,1
"Barnet Skettles Jr",157,5
"Barnet Skettles Jr",153,5
"Barnet Skettles Jr",178,5
"Barnet Skettles Jr",89,5
"Barnet Skettles Jr",91,5
"Berinthia",48,6
"Berinthia",369,6
"Berinthia",62,6
"Berinthia",49,6
"Berinthia",47,6
"Berinthia",46,6
"Bill Bitherstone",57,2
"Bill Bitherstone",56,2
"Briggs",86,9
"Briggs",69,9
"Briggs",87,9
"Briggs",71,9
"Briggs",256,9
"Briggs",375,9
"Briggs",85,9
"Briggs",74,9
"Briggs",82,9
"Captain Bunsby",244,14
"Captain Bunsby",309,14
"Captain Bunsby",245,14
"Captain Bunsby",151,14
"Captain Bunsby",378,14
"Captain Bunsby",96,14
"Captain Bunsby",246,14
"Captain Bunsby",308,14
"Captain Bunsby",243,14
"Captain Bunsby",379,14
"Captain Bunsby",377,14
"Captain Bunsby",148,14
"Captain Bunsby",150,14
"Captain Bunsby",149,14
"Captain Cuttle",296,91
"Captain Cuttle",205,91
"Captain Cuttle",58,91
"Captain Cuttle",297,91
"Captain Cuttle",106,91
"Captain Cuttle",54,91
"Captain Cuttle",307,91
"Captain Cuttle",20,91
"Captain Cuttle",349,91
"Captain Cuttle",313,91
"Captain Cuttle",161,91
"Captain Cuttle",243,91
"Captain Cuttle",158,91
"Captain Cuttle",60,91
"Captain Cuttle",50,91
"Captain Cuttle",208,91
"Captain Cuttle",308,91
"Captain Cuttle",357,91
"Captain Cuttle",311,91
"Captain Cuttle",96,91
"Captain Cuttle",135,91
"Captain Cuttle",386,91
"Captain Cuttle",119,91
"Captain Cuttle",53,91
"Captain Cuttle",295,91
"Captain Cuttle",93,91
"Captain Cuttle",246,91
"Captain Cuttle",387,91
"Captain Cuttle",202,91
"Captain Cuttle",103,91
"Captain Cuttle",201,91
"Captain Cuttle",52,91
"Captain Cuttle",160,91
"Captain Cuttle",352,91
"Captain Cuttle",283,91
"Captain Cuttle",348,91
"Captain Cuttle",99,91
"Captain Cuttle",146,91
"Captain Cuttle",351,91
"Captain Cuttle",149,91
"Captain Cuttle",150,91
"Captain Cuttle",196,91
"Captain Cuttle",241,91
"Captain Cuttle",116,91
"Captain Cuttle",245,91
"Captain Cuttle",312,91
"Captain Cuttle",356,91
"Captain Cuttle",353,91
"Captain Cuttle",378,91
"Captain Cuttle",303,91
"Captain Cuttle",105,91
"Captain Cuttle",242,91
"Captain Cuttle",300,91
"Captain Cuttle",55,91
"Captain Cuttle",301,91
"Captain Cuttle",362,91
"Captain Cuttle",148,91
"Captain Cuttle",204,91
"Captain Cuttle",315,91
"Captain Cuttle",309,91
"Captain Cuttle",78,91
"Captain Cuttle",206,91
"Captain Cuttle",59,91
"Captain Cuttle",310,91
"Captain Cuttle",203,91
"Captain Cuttle",207,91
"Captain Cuttle",358,91
"Captain Cuttle",260,91
"Captain Cuttle",95,91
"Captain Cuttle",81,91
"Captain Cuttle",306,91
"Captain Cuttle",195,91
"Captain Cuttle",302,91
"Captain Cuttle",104,91
"Captain Cuttle",152,91
"Captain Cuttle",94,91
"Captain Cuttle",247,91
"Captain Cuttle",244,91
"Captain Cuttle",120,91
"Captain Cuttle",198,91
"Captain Cuttle",347,91
"Captain Cuttle",299,91
"Captain Cuttle",61,91
"Captain Cuttle",147,91
"Captain Cuttle",304,91
"Captain Cuttle",305,91
"Captain Cuttle",346,91
"Captain Cuttle",121,91
"Captain Cuttle",159,91
"Captain Cuttle",151,91
"Captain Cuttle",240,91
"Charles Macstinger",245,2
"Charles Macstinger",246,2
"Cornelia Blimber",71,25
"Cornelia Blimber",66,25
"Cornelia Blimber",83,25
"Cornelia Blimber",375,25
"Cornelia Blimber",90,25
"Cornelia Blimber",72,25
"Cornelia Blimber",98,25
"Cornelia Blimber",86,25
"Cornelia Blimber",256,25
"Cornelia Blimber",69,25
"Cornelia Blimber",257,25
"Cornelia Blimber",64,25
"Cornelia Blimber",82,25
"Cornelia Blimber",377,25
"Cornelia Blimber",67,25
"Cornelia Blimber",84,25
"Cornelia Blimber",73,25
"Cornelia Blimber",376,25
"Cornelia Blimber",70,25
"Cornelia Blimber",255,25
"Cornelia Blimber",68,25
"Cornelia Blimber",74,25
"Cornelia Blimber",87,25
"Cornelia Blimber",91,25
"Cornelia Blimber",88,25
"Cousin Feenix",258,23
"Cousin Feenix",200,23
"Cousin Feenix",382,23
"Cousin Feenix",197,23
"Cousin Feenix",381,23
"Cousin Feenix",195,23
"Cousin Feenix",199,23
"Cousin Feenix",188,23
"Cousin Feenix",227,23
"Cousin Feenix",171,23
"Cousin Feenix",384,23
"Cousin Feenix",385,23
"Cousin Feenix",383,23
"Cousin Feenix",316,23
"Cousin Feenix",226,23
"Cousin Feenix",190,23
"Cousin Feenix",132,23
"Cousin Feenix",317,23
"Cousin Feenix",198,23
"Cousin Feenix",228,23
"Cousin Feenix",229,23
"Cousin Feenix",259,23
"Cousin Feenix",130,23
"Diogenes",113,26
"Diogenes",295,26
"Diogenes",115,26
"Diogenes",140,26
"Diogenes",143,26
"Diogenes",187,26
"Diogenes",306,26
"Diogenes",255,26
"Diogenes",114,26
"Diogenes",179,26
"Diogenes",222,26
"Diogenes",301,26
"Diogenes",297,26
"Diogenes",345,26
"Diogenes",256,26
"Diogenes",274,26
"Diogenes",200,26
"Diogenes",296,26
"Diogenes",311,26
"Diogenes",351,26
"Diogenes",298,26
"Diogenes",142,26
"Diogenes",91,26
"Diogenes",299,26
"Diogenes",178,26
"Diogenes",223,26
"Doctor Blimber",153,29
"Doctor Blimber",255,29
"Doctor Blimber",376,29
"Doctor Blimber",66,29
"Doctor Blimber",257,29
"Doctor Blimber",377,29
"Doctor Blimber",91,29
"Doctor Blimber",86,29
"Doctor Blimber",64,29
"Doctor Blimber",71,29
"Doctor Blimber",73,29
"Doctor Blimber",107,29
"Doctor Blimber",87,29
"Doctor Blimber",63,29
"Doctor Blimber",90,29
"Doctor Blimber",75,29
"Doctor Blimber",88,29
"Doctor Blimber",67,29
"Doctor Blimber",100,29
"Doctor Blimber",179,29
"Doctor Blimber",70,29
"Doctor Blimber",82,29
"Doctor Blimber",85,29
"Doctor Blimber",256,29
"Doctor Blimber",375,29
"Doctor Blimber",84,29
"Doctor Blimber",65,29
"Doctor Blimber",68,29
"Doctor Blimber",74,29
"Doctor Parker Peps",3,4
"Doctor Parker Peps",42,4
"Doctor Parker Peps",2,4
"Doctor Parker Peps",5,4
"Florence Dombey",50,217
"Florence Dombey",193,217
"Florence Dombey",152,217
"Florence Dombey",197,217
"Florence Dombey",32,217
"Florence Dombey",112,217
"Florence Dombey",256,217
"Florence Dombey",296,217
"Florence Dombey",133,217
"Florence Dombey",192,217
"Florence Dombey",150,217
"Florence Dombey",307,217
"Florence Dombey",64,217
"Florence Dombey",345,217
"Florence Dombey",289,217
"Florence Dombey",202,217
"Florence Dombey",13,217
"Florence Dombey",385,217
"Florence Dombey",349,217
"Florence Dombey",147,217
"Florence Dombey",25,217
"Florence Dombey",295,217
"Florence Dombey",255,217
"Florence Dombey",191,217
"Florence Dombey",288,217
"Florence Dombey",72,217
"Florence Dombey",308,217
"Florence Dombey",271,217
"Florence Dombey",141,217
"Florence Dombey",221,217
"Florence Dombey",140,217
"Florence Dombey",149,217
"Florence Dombey",86,217
"Florence Dombey",113,217
"Florence Dombey",240,217
"Florence Dombey",232,217
"Florence Dombey",222,217
"Florence Dombey",310,217
"Florence Dombey",195,217
"Florence Dombey",384,217
"Florence Dombey",223,217
"Florence Dombey",82,217
"Florence Dombey",297,217
"Florence Dombey",309,217
"Florence Dombey",35,217
"Florence Dombey",366,217
"Florence Dombey",14,217
"Florence Dombey",291,217
"Florence Dombey",110,217
"Florence Dombey",199,217
"Florence Dombey",29,217
"Florence Dombey",15,217
"Florence Dombey",155,217
"Florence Dombey",37,217
"Florence Dombey",305,217
"Florence Dombey",314,217
"Florence Dombey",156,217
"Florence Dombey",265,217
"Florence Dombey",153,217
"Florence Dombey",190,217
"Florence Dombey",59,217
"Florence Dombey",316,217
"Florence Dombey",45,217
"Florence Dombey",348,217
"Florence Dombey",97,217
"Florence Dombey",114,217
"Florence Dombey",274,217
"Florence Dombey",380,217
"Florence Dombey",46,217
"Florence Dombey",2,217
"Florence Dombey",347,217
"Florence Dombey",181,217
"Florence Dombey",98,217
"Florence Dombey",226,217
"Florence Dombey",73,217
"Florence Dombey",56,217
"Florence Dombey",47,217
"Florence Dombey",116,217
"Florence Dombey",144,217
"Florence Dombey",161,217
"Florence Dombey",42,217
"Florence Dombey",109,217
"Florence Dombey",233,217
"Florence Dombey",231,217
"Florence Dombey",350,217
"Florence Dombey",241,217
"Florence Dombey",101,217
"Florence Dombey",234,217
"Florence Dombey",75,217
"Florence Dombey",146,217
"Florence Dombey",188,217
"Florence Dombey",303,217
"Florence Dombey",58,217
"Florence Dombey",220,217
"Florence Dombey",111,217
"Florence Dombey",89,217
"Florence Dombey",272,217
"Florence Dombey",36,217
"Florence Dombey",388,217
"Florence Dombey",85,217
"Florence Dombey",157,217
"Florence Dombey",71,217
"Florence Dombey",34,217
"Florence Dombey",78,217
"Florence Dombey",151,217
"Florence Dombey",90,217
"Florence Dombey",357,217
"Florence Dombey",31,217
"Florence Dombey",145,217
"Florence Dombey",60,217
"Florence Dombey",293,217
"Florence Dombey",33,217
"Florence Dombey",287,217
"Florence Dombey",125,217
"Florence Dombey",61,217
"Florence Dombey",204,217
"Florence Dombey",143,217
"Florence Dombey",119,217
"Florence Dombey",298,217
"Florence Dombey",87,217
"Florence Dombey",68,217
"Florence Dombey",304,217
"Florence Dombey",215,217
"Florence Dombey",183,217
"Florence Dombey",118,217
"Florence Dombey",100,217
"Florence Dombey",290,217
"Florence Dombey",301,217
"Florence Dombey",306,217
"Florence Dombey",353,217
"Florence Dombey",200,217
"Florence Dombey",24,217
"Florence Dombey",154,217
"Florence Dombey",354,217
"Florence Dombey",91,217
"Florence Dombey",373,217
"Florence Dombey",355,217
"Florence Dombey",346,217
"Florence Dombey",379,217
"Florence Dombey",273,217
"Florence Dombey",65,217
"Florence Dombey",177,217
"Florence Dombey",81,217
"Florence Dombey",276,217
"Florence Dombey",383,217
"Florence Dombey",66,217
"Florence Dombey",263,217
"Florence Dombey",230,217
"Florence Dombey",278,217
"Florence Dombey",381,217
"Florence Dombey",92,217
"Florence Dombey",284,217
"Florence Dombey",224,217
"Florence Dombey",275,217
"Florence Dombey",43,217
"Florence Dombey",228,217
"Florence Dombey",163,217
"Florence Dombey",312,217
"Florence Dombey",376,217
"Florence Dombey",12,217
"Florence Dombey",253,217
"Florence Dombey",205,217
"Florence Dombey",178,217
"Florence Dombey",189,217
"Florence Dombey",337,217
"Florence Dombey",28,217
"Florence Dombey",268,217
"Florence Dombey",294,217
"Florence Dombey",356,217
"Florence Dombey",358,217
"Florence Dombey",319,217
"Florence Dombey",302,217
"Florence Dombey",270,217
"Florence Dombey",198,217
"Florence Dombey",257,217
"Florence Dombey",313,217
"Florence Dombey",267,217
"Florence Dombey",180,217
"Florence Dombey",30,217
"Florence Dombey",315,217
"Florence Dombey",382,217
"Florence Dombey",187,217
"Florence Dombey",88,217
"Florence Dombey",352,217
"Florence Dombey",115,217
"Florence Dombey",179,217
"Florence Dombey",49,217
"Florence Dombey",57,217
"Florence Dombey",196,217
"Florence Dombey",292,217
"Florence Dombey",126,217
"Florence Dombey",148,217
"Florence Dombey",67,217
"Florence Dombey",386,217
"Florence Dombey",377,217
"Florence Dombey",62,217
"Florence Dombey",279,217
"Florence Dombey",269,217
"Florence Dombey",108,217
"Florence Dombey",299,217
"Florence Dombey",387,217
"Florence Dombey",266,217
"Florence Dombey",102,217
"Florence Dombey",83,217
"Florence Dombey",203,217
"Florence Dombey",300,217
"Florence Dombey",48,217
"Florence Dombey",258,217
"Florence Dombey",201,217
"Florence Dombey",23,217
"Florence Dombey",249,217
"Florence Dombey",117,217
"Florence Dombey",162,217
"Florence Dombey",311,217
"Florence Dombey",351,217
"Florence Dombey",74,217
"Florence Dombey",227,217
"Flowers",231,5
"Flowers",253,5
"Flowers",252,5
"Flowers",230,5
"Flowers",233,5
"Harriet Carker",210,22
"Harriet Carker",365,22
"Harriet Carker",211,22
"Harriet Carker",327,22
"Harriet Carker",134,22
"Harriet Carker",329,22
"Harriet Carker",333,22
"Harriet Carker",135,22
"Harriet Carker",209,22
"Harriet Carker",360,22
"Harriet Carker",364,22
"Harriet Carker",212,22
"Harriet Carker",331,22
"Harriet Carker",213,22
"Harriet Carker",362,22
"Harriet Carker",363,22
"Harriet Carker",330,22
"Harriet Carker",361,22
"Harriet Carker",328,22
"Harriet Carker",219,22
"Harriet Carker",214,22
"Harriet Carker",332,22
"James Carker",134,9
"James Carker",283,9
"James Carker",204,9
"James Carker",332,9
"James Carker",329,9
"James Carker",361,9
"James Carker",79,9
"James Carker",80,9
"James Carker",135,9
"Jemima",31,5
"Jemima",7,5
"Jemima",30,5
"Jemima",10,5
"Jemima",9,5
"Joe",33,2
"Joe",34,2
"John",244,8
"John",26,8
"John",151,8
"John",27,8
"John",156,8
"John",19,8
"John",243,8
"John",25,8
"Johnson",259,5
"Johnson",256,5
"Johnson",88,5
"Johnson",70,5
"Johnson",71,5
"Juliana Macstinger",379,4
"Juliana Macstinger",246,4
"Juliana Macstinger",245,4
"Juliana Macstinger",160,4
"Kate",155,2
"Kate",154,2
"Lady Skettles",156,10
"Lady Skettles",157,10
"Lady Skettles",153,10
"Lady Skettles",145,10
"Lady Skettles",375,10
"Lady Skettles",110,10
"Lady Skettles",179,10
"Lady Skettles",91,10
"Lady Skettles",89,10
"Lady Skettles",90,10
"Lucretia Tox",40,60
"Lucretia Tox",10,60
"Lucretia Tox",124,60
"Lucretia Tox",370,60
"Lucretia Tox",4,60
"Lucretia Tox",239,60
"Lucretia Tox",182,60
"Lucretia Tox",183,60
"Lucretia Tox",238,60
"Lucretia Tox",9,60
"Lucretia Tox",317,60
"Lucretia Tox",60,60
"Lucretia Tox",42,60
"Lucretia Tox",41,60
"Lucretia Tox",111,60
"Lucretia Tox",236,60
"Lucretia Tox",229,60
"Lucretia Tox",198,60
