"V1","V2"
"3","M’Choakumchild"
"3","Sissy Jupe"
"3","Thomas Gradgrind"
"5","Sissy Jupe"
"5","Thomas Gradgrind"
"6","Thomas Gradgrind"
"7","Bounderby"
"7","Thomas Gradgrind"
"8","Bounderby"
"8","Louisa Gradgrind"
"8","Mrs Gradgrind"
"8","Thomas Gradgrind"
"9","Bounderby"
"9","Louisa Gradgrind"
"9","Mrs Gradgrind"
"9","Thomas Gradgrind"
"9","Tom Gradgrind"
"10","Bounderby"
"10","M’Choakumchild"
"10","Mrs Gradgrind"
"10","Thomas Gradgrind"
"11","Bitzer"
"11","Bounderby"
"11","M’Choakumchild"
"11","Mrs Pegler"
"11","Sissy Jupe"
"11","Thomas Gradgrind"
"12","Bounderby"
"13","Bounderby"
"13","Signor Jupe"
"13","Sissy Jupe"
"13","Thomas Gradgrind"
"14","Bounderby"
"14","E.W.B. Childers"
"14","Kidderminster"
"14","Mr Sleary"
"14","Thomas Gradgrind"
"15","Bounderby"
"15","E.W.B. Childers"
"15","Kidderminster"
"15","Louisa Gradgrind"
"15","Mr Sleary"
"15","Sissy Jupe"
"15","Thomas Gradgrind"
"16","Bounderby"
"16","Mr Sleary"
"16","Sissy Jupe"
"16","Thomas Gradgrind"
"17","Bounderby"
"17","Kidderminster"
"17","Mr Sleary"
"17","Sissy Jupe"
"17","Thomas Gradgrind"
"18","Bounderby"
"18","Louisa Gradgrind"
"18","Mrs Pegler"
"18","Thomas Gradgrind"
"19","Bounderby"
"19","Louisa Gradgrind"
"19","Mrs Gradgrind"
"19","Mrs Sparsit"
"19","Sissy Jupe"
"19","Thomas Gradgrind"
"19","Tom Gradgrind"
"20","Bounderby"
"20","Louisa Gradgrind"
"20","Mrs Sparsit"
"20","Sissy Jupe"
"20","Thomas Gradgrind"
"21","Louisa Gradgrind"
"21","M’Choakumchild"
"21","Sissy Jupe"
"21","Thomas Gradgrind"
"21","Tom Gradgrind"
"22","Bounderby"
"22","Louisa Gradgrind"
"22","Mrs Gradgrind"
"22","Tom Gradgrind"
"23","Mrs Gradgrind"
"24","Louisa Gradgrind"
"24","M’Choakumchild"
"24","Mrs Gradgrind"
"24","Sissy Jupe"
"24","Thomas Gradgrind"
"25","Louisa Gradgrind"
"25","Sissy Jupe"
"26","Bounderby"
"26","Louisa Gradgrind"
"26","Mr Sleary"
"26","Mrs Gradgrind"
"26","Sissy Jupe"
"26","Thomas Gradgrind"
"26","Tom Gradgrind"
"28","Rachael"
"28","Stephen Blackpool"
"30","Bounderby"
"30","Mrs Sparsit"
"30","Stephen Blackpool"
"31","Bounderby"
"31","Mrs Blackpool"
"31","Mrs Sparsit"
"31","Stephen Blackpool"
"32","Bounderby"
"32","Mrs Sparsit"
"32","Stephen Blackpool"
"33","Bounderby"
"33","Mrs Pegler"
"33","Stephen Blackpool"
"34","Mrs Pegler"
"34","Rachael"
"35","Mrs Blackpool"
"35","Rachael"
"35","Stephen Blackpool"
"36","Mrs Blackpool"
"36","Rachael"
"36","Stephen Blackpool"
"37","Mrs Blackpool"
"37","Rachael"
"37","Stephen Blackpool"
"38","Rachael"
"39","Bounderby"
"39","Louisa Gradgrind"
"39","M’Choakumchild"
"39","Mrs Gradgrind"
"39","Sissy Jupe"
"39","Thomas Gradgrind"
"40","Bounderby"
"40","Louisa Gradgrind"
"40","Mrs Sparsit"
"40","Thomas Gradgrind"
"40","Tom Gradgrind"
"41","Bounderby"
"41","Louisa Gradgrind"
"41","Thomas Gradgrind"
"42","Bounderby"
"42","Louisa Gradgrind"
"42","Thomas Gradgrind"
"43","Bounderby"
"43","Louisa Gradgrind"
"43","Mrs Gradgrind"
"43","Sissy Jupe"
"43","Thomas Gradgrind"
"44","Bounderby"
"44","Lady Scadgers"
"44","Mrs Sparsit"
"44","Thomas Gradgrind"
"45","Bounderby"
"45","Jane Gradgrind"
"45","Louisa Gradgrind"
"45","Mrs Sparsit"
"45","Thomas Gradgrind"
"45","Tom Gradgrind"
"46","Bounderby"
"46","Mrs Sparsit"
"47","Bitzer"
"47","Mrs Sparsit"
"48","Bitzer"
"48","Bounderby"
"48","Mrs Sparsit"
"49","Bitzer"
"49","Bounderby"
"49","Mrs Sparsit"
"50","Bitzer"
"50","Bounderby"
"50","Mrs Sparsit"
"51","Bounderby"
"51","Mrs Sparsit"
"51","Thomas Gradgrind"
"52","Bounderby"
"52","Harthouse"
"52","Louisa Gradgrind"
"52","Thomas Gradgrind"
"53","Bounderby"
"53","Harthouse"
"53","Louisa Gradgrind"
"53","Tom Gradgrind"
"54","Bounderby"
"54","Harthouse"
