"Character","Node","Appearances"
"Anny",77,1
"Artful Dodger",148,27
"Artful Dodger",40,27
"Artful Dodger",32,27
"Artful Dodger",146,27
"Artful Dodger",64,27
"Artful Dodger",36,27
"Artful Dodger",51,27
"Artful Dodger",31,27
"Artful Dodger",159,27
"Artful Dodger",59,27
"Artful Dodger",58,27
"Artful Dodger",42,27
"Artful Dodger",85,27
"Artful Dodger",129,27
"Artful Dodger",29,27
"Artful Dodger",39,27
"Artful Dodger",145,27
"Artful Dodger",38,27
"Artful Dodger",130,27
"Artful Dodger",80,27
"Artful Dodger",128,27
"Artful Dodger",147,27
"Artful Dodger",41,27
"Artful Dodger",26,27
"Artful Dodger",79,27
"Artful Dodger",30,27
"Artful Dodger",60,27
"Barney",143,8
"Barney",72,8
"Barney",48,8
"Barney",152,8
"Barney",71,8
"Barney",73,8
"Barney",142,8
"Barney",83,8
"Bet",80,7
"Bet",29,7
"Bet",59,7
"Bet",53,7
"Bet",159,7
"Bet",60,7
"Bet",79,7
"Bill Sikes",160,50
"Bill Sikes",65,50
"Bill Sikes",84,50
"Bill Sikes",71,50
"Bill Sikes",64,50
"Bill Sikes",131,50
"Bill Sikes",151,50
"Bill Sikes",128,50
"Bill Sikes",149,50
"Bill Sikes",72,50
"Bill Sikes",103,50
"Bill Sikes",158,50
"Bill Sikes",82,50
"Bill Sikes",48,50
"Bill Sikes",42,50
"Bill Sikes",58,50
"Bill Sikes",162,50
"Bill Sikes",53,50
"Bill Sikes",170,50
"Bill Sikes",47,50
"Bill Sikes",159,50
"Bill Sikes",51,50
"Bill Sikes",62,50
"Bill Sikes",73,50
"Bill Sikes",68,50
"Bill Sikes",150,50
"Bill Sikes",135,50
"Bill Sikes",63,50
"Bill Sikes",41,50
"Bill Sikes",129,50
"Bill Sikes",67,50
"Bill Sikes",59,50
"Bill Sikes",141,50
"Bill Sikes",69,50
"Bill Sikes",132,50
"Bill Sikes",164,50
"Bill Sikes",61,50
"Bill Sikes",83,50
"Bill Sikes",81,50
"Bill Sikes",52,50
"Bill Sikes",182,50
"Bill Sikes",66,50
"Bill Sikes",50,50
"Bill Sikes",90,50
"Bill Sikes",184,50
"Bill Sikes",171,50
"Bill Sikes",40,50
"Bill Sikes",130,50
"Bill Sikes",91,50
"Bill Sikes",70,50
"Blathers",99,5
"Blathers",139,5
"Blathers",102,5
"Blathers",101,5
"Blathers",100,5
"Brittles",93,11
"Brittles",91,11
"Brittles",94,11
"Brittles",184,11
"Brittles",90,11
"Brittles",102,11
"Brittles",99,11
"Brittles",98,11
"Brittles",97,11
"Brittles",96,11
"Brittles",92,11
"Charley Bates",38,25
"Charley Bates",169,25
"Charley Bates",39,25
"Charley Bates",53,25
"Charley Bates",184,25
"Charley Bates",58,25
"Charley Bates",129,25
"Charley Bates",80,25
"Charley Bates",147,25
"Charley Bates",31,25
"Charley Bates",79,25
"Charley Bates",128,25
"Charley Bates",60,25
"Charley Bates",32,25
"Charley Bates",148,25
"Charley Bates",171,25
"Charley Bates",29,25
"Charley Bates",170,25
"Charley Bates",59,25
"Charley Bates",41,25
"Charley Bates",159,25
"Charley Bates",51,25
"Charley Bates",40,25
"Charley Bates",130,25
"Charley Bates",146,25
"Charlotte",20,14
"Charlotte",14,14
"Charlotte",184,14
"Charlotte",13,14
"Charlotte",19,14
"Charlotte",142,14
"Charlotte",143,14
"Charlotte",22,14
"Charlotte",21,14
"Charlotte",15,14
"Charlotte",89,14
"Charlotte",88,14
"Charlotte",141,14
"Charlotte",144,14
"Conkey Chickweed",101,3
"Conkey Chickweed",102,3
"Conkey Chickweed",100,3
"Dick",55,5
"Dick",175,5
"Dick",48,5
"Dick",23,5
"Dick",179,5
"Duff",116,6
"Duff",99,6
"Duff",100,6
"Duff",102,6
"Duff",139,6
"Duff",101,6
"Edward Leeford",130,25
"Edward Leeford",166,25
"Edward Leeford",134,25
"Edward Leeford",178,25
"Edward Leeford",125,25
"Edward Leeford",135,25
"Edward Leeford",86,25
"Edward Leeford",124,25
"Edward Leeford",139,25
"Edward Leeford",126,25
"Edward Leeford",165,25
"Edward Leeford",155,25
"Edward Leeford",184,25
"Edward Leeford",175,25
"Edward Leeford",182,25
"Edward Leeford",168,25
"Edward Leeford",176,25
"Edward Leeford",177,25
"Edward Leeford",156,25
"Edward Leeford",131,25
"Edward Leeford",140,25
"Edward Leeford",85,25
"Edward Leeford",127,25
"Edward Leeford",167,25
"Edward Leeford",159,25
"Fagin",72,56
"Fagin",83,56
"Fagin",47,56
"Fagin",176,56
"Fagin",53,56
"Fagin",40,56
"Fagin",85,56
"Fagin",135,56
"Fagin",147,56
"Fagin",51,56
"Fagin",131,56
"Fagin",61,56
"Fagin",164,56
"Fagin",184,56
"Fagin",29,56
"Fagin",52,56
"Fagin",30,56
"Fagin",41,56
"Fagin",39,56
"Fagin",128,56
"Fagin",144,56
"Fagin",151,56
"Fagin",105,56
"Fagin",152,56
"Fagin",153,56
"Fagin",64,56
"Fagin",149,56
"Fagin",62,56
"Fagin",146,56
"Fagin",134,56
"Fagin",159,56
"Fagin",82,56
"Fagin",60,56
"Fagin",170,56
"Fagin",26,56
"Fagin",169,56
"Fagin",145,56
"Fagin",182,56
"Fagin",129,56
"Fagin",130,56
"Fagin",63,56
"Fagin",183,56
"Fagin",80,56
"Fagin",142,56
"Fagin",84,56
"Fagin",156,56
"Fagin",171,56
"Fagin",158,56
"Fagin",79,56
"Fagin",59,56
"Fagin",58,56
"Fagin",65,56
"Fagin",150,56
"Fagin",148,56
"Fagin",48,56
"Fagin",143,56
"Grannett",75,1
"Harry Maylie",113,13
"Harry Maylie",184,13
"Harry Maylie",119,13
"Harry Maylie",116,13
"Harry Maylie",109,13
"Harry Maylie",179,13
"Harry Maylie",114,13
"Harry Maylie",140,13
"Harry Maylie",137,13
"Harry Maylie",118,13
"Harry Maylie",178,13
"Harry Maylie",117,13
"Harry Maylie",112,13
"Jem Spyers",101,1
"Kags",169,2
"Kags",170,2
"Martha",78,1
"Morris Bolter",146,5
"Morris Bolter",145,5
"Morris Bolter",152,5
"Morris Bolter",144,5
"Morris Bolter",147,5
