"Character","Node","Appearances"
"Admiral Crawford",88,14
"Admiral Crawford",138,14
"Admiral Crawford",112,14
"Admiral Crawford",21,14
"Admiral Crawford",113,14
"Admiral Crawford",25,14
"Admiral Crawford",15,14
"Admiral Crawford",103,14
"Admiral Crawford",115,14
"Admiral Crawford",160,14
"Admiral Crawford",89,14
"Admiral Crawford",102,14
"Admiral Crawford",16,14
"Admiral Crawford",24,14
"Baddeley",131,3
"Baddeley",69,3
"Baddeley",124,3
"Betsey Price",144,10
"Betsey Price",152,10
"Betsey Price",150,10
"Betsey Price",149,10
"Betsey Price",142,10
"Betsey Price",156,10
"Betsey Price",145,10
"Betsey Price",147,10
"Betsey Price",146,10
"Betsey Price",148,10
"Captain Walsh",145,1
"Charles",72,2
"Charles",19,2
"Charles Anderson",19,1
"Charles Maddox",61,3
"Charles Maddox",59,3
"Charles Maddox",57,3
"Charlie Price",150,3
"Charlie Price",149,3
"Charlie Price",146,3
"Colonel Harrison",109,1
"Dr Grant",45,30
"Dr Grant",182,30
"Dr Grant",20,30
"Dr Grant",181,30
"Dr Grant",77,30
"Dr Grant",165,30
"Dr Grant",80,30
"Dr Grant",137,30
"Dr Grant",85,30
"Dr Grant",30,30
"Dr Grant",81,30
"Dr Grant",18,30
"Dr Grant",16,30
"Dr Grant",24,30
"Dr Grant",21,30
"Dr Grant",94,30
"Dr Grant",73,30
"Dr Grant",42,30
"Dr Grant",86,30
"Dr Grant",22,30
"Dr Grant",103,30
"Dr Grant",25,30
"Dr Grant",13,30
"Dr Grant",78,30
"Dr Grant",183,30
"Dr Grant",95,30
"Dr Grant",9,30
"Dr Grant",134,30
"Dr Grant",65,30
"Dr Grant",46,30
"Edmund Bertram",7,129
"Edmund Bertram",83,129
"Edmund Bertram",171,129
"Edmund Bertram",130,129
"Edmund Bertram",69,129
"Edmund Bertram",33,129
"Edmund Bertram",151,129
"Edmund Bertram",175,129
"Edmund Bertram",45,129
"Edmund Bertram",15,129
"Edmund Bertram",60,129
"Edmund Bertram",84,129
"Edmund Bertram",48,129
"Edmund Bertram",179,129
"Edmund Bertram",157,129
"Edmund Bertram",67,129
"Edmund Bertram",76,129
"Edmund Bertram",128,129
"Edmund Bertram",114,129
"Edmund Bertram",27,129
"Edmund Bertram",59,129
"Edmund Bertram",54,129
"Edmund Bertram",32,129
"Edmund Bertram",30,129
"Edmund Bertram",34,129
"Edmund Bertram",20,129
"Edmund Bertram",131,129
"Edmund Bertram",35,129
"Edmund Bertram",14,129
"Edmund Bertram",165,129
"Edmund Bertram",13,129
"Edmund Bertram",173,129
"Edmund Bertram",168,129
"Edmund Bertram",134,129
"Edmund Bertram",135,129
"Edmund Bertram",177,129
"Edmund Bertram",174,129
"Edmund Bertram",6,129
"Edmund Bertram",29,129
"Edmund Bertram",18,129
"Edmund Bertram",86,129
"Edmund Bertram",19,129
"Edmund Bertram",85,129
"Edmund Bertram",25,129
"Edmund Bertram",137,129
"Edmund Bertram",113,129
"Edmund Bertram",94,129
"Edmund Bertram",39,129
"Edmund Bertram",158,129
"Edmund Bertram",63,129
"Edmund Bertram",26,129
"Edmund Bertram",51,129
"Edmund Bertram",24,129
"Edmund Bertram",66,129
"Edmund Bertram",144,129
"Edmund Bertram",95,129
"Edmund Bertram",132,129
