"","Character","Node","Appearances"
"1","Bazzard",49,6
"2","Bazzard",48,6
"3","Bazzard",92,6
"4","Bazzard",47,6
"5","Bazzard",46,6
"6","Bazzard",91,6
"7","Deputy",56,7
"8","Deputy",19,7
"9","Deputy",84,7
"10","Deputy",18,7
"11","Deputy",85,7
"12","Deputy",108,7
"13","Deputy",55,7
"14","Dick Datchery",85,8
"15","Dick Datchery",106,8
"16","Dick Datchery",83,8
"17","Dick Datchery",82,8
"18","Dick Datchery",109,8
"19","Dick Datchery",108,8
"20","Dick Datchery",84,8
"21","Dick Datchery",107,8
"22","Durdles",54,14
"23","Durdles",55,14
"24","Durdles",19,14
"25","Durdles",16,14
"26","Durdles",53,14
"27","Durdles",17,14
"28","Durdles",84,14
"29","Durdles",20,14
"30","Durdles",107,14
"31","Durdles",52,14
"32","Durdles",18,14
"33","Durdles",51,14
"34","Durdles",66,14
"35","Durdles",56,14
"36","Edwin Drood",48,38
"37","Edwin Drood",69,38
"38","Edwin Drood",36,38
"39","Edwin Drood",70,38
"40","Edwin Drood",63,38
"41","Edwin Drood",65,38
"42","Edwin Drood",26,38
"43","Edwin Drood",46,38
"44","Edwin Drood",103,38
"45","Edwin Drood",33,38
"46","Edwin Drood",60,38
"47","Edwin Drood",58,38
"48","Edwin Drood",13,38
"49","Edwin Drood",107,38
"50","Edwin Drood",6,38
"51","Edwin Drood",43,38
"52","Edwin Drood",47,38
"53","Edwin Drood",38,38
"54","Edwin Drood",35,38
"55","Edwin Drood",11,38
"56","Edwin Drood",10,38
"57","Edwin Drood",27,38
"58","Edwin Drood",74,38
"59","Edwin Drood",30,38
"60","Edwin Drood",29,38
"61","Edwin Drood",31,38
"62","Edwin Drood",110,38
"63","Edwin Drood",44,38
"64","Edwin Drood",73,38
"65","Edwin Drood",59,38
"66","Edwin Drood",57,38
"67","Edwin Drood",49,38
"68","Edwin Drood",5,38
"69","Edwin Drood",79,38
"70","Edwin Drood",64,38
"71","Edwin Drood",12,38
"72","Edwin Drood",42,38
"73","Edwin Drood",7,38
"74","Helena Landless",63,26
"75","Helena Landless",92,26
"76","Helena Landless",60,26
"77","Helena Landless",43,26
"78","Helena Landless",29,26
"79","Helena Landless",22,26
"80","Helena Landless",57,26
"81","Helena Landless",40,26
"82","Helena Landless",86,26
"83","Helena Landless",26,26
"84","Helena Landless",27,26
"85","Helena Landless",94,26
"86","Helena Landless",89,26
"87","Helena Landless",42,26
"88","Helena Landless",23,26
"89","Helena Landless",79,26
"90","Helena Landless",34,26
"91","Helena Landless",64,26
"92","Helena Landless",33,26
"93","Helena Landless",97,26
"94","Helena Landless",62,26
"95","Helena Landless",96,26
"96","Helena Landless",70,26
"97","Helena Landless",88,26
"98","Helena Landless",41,26
"99","Helena Landless",93,26
"100","Hiram Grewgious",91,33
"101","Hiram Grewgious",35,33
"102","Hiram Grewgious",72,33
"103","Hiram Grewgious",90,33
"104","Hiram Grewgious",64,33
"105","Hiram Grewgious",81,33
"106","Hiram Grewgious",48,33
"107","Hiram Grewgious",80,33
"108","Hiram Grewgious",97,33
"109","Hiram Grewgious",92,33
"110","Hiram Grewgious",58,33
"111","Hiram Grewgious",100,33
"112","Hiram Grewgious",45,33
"113","Hiram Grewgious",34,33
"114","Hiram Grewgious",73,33
"115","Hiram Grewgious",60,33
"116","Hiram Grewgious",79,33
"117","Hiram Grewgious",37,33
"118","Hiram Grewgious",78,33
"119","Hiram Grewgious",75,33
"120","Hiram Grewgious",103,33
"121","Hiram Grewgious",50,33
"122","Hiram Grewgious",38,33
"123","Hiram Grewgious",98,33
"124","Hiram Grewgious",46,33
"125","Hiram Grewgious",94,33
"126","Hiram Grewgious",36,33
"127","Hiram Grewgious",93,33
"128","Hiram Grewgious",49,33
"129","Hiram Grewgious",99,33
"130","Hiram Grewgious",47,33
"131","Hiram Grewgious",71,33
"132","Hiram Grewgious",70,33
"133","Jack Chinaman",1,2
"134","Jack Chinaman",103,2
"135","Joe",23,3
"136","Joe",68,3
"137","Joe",90,3
"138","John Jasper",4,53
"139","John Jasper",103,53
"140","John Jasper",66,53
"141","John Jasper",39,53
"142","John Jasper",18,53
"143","John Jasper",30,53
"144","John Jasper",5,53
"145","John Jasper",36,53
"146","John Jasper",19,53
"147","John Jasper",37,53
"148","John Jasper",97,53
"149","John Jasper",6,53
"150","John Jasper",69,53
"151","John Jasper",7,53
"152","John Jasper",8,53
"153","John Jasper",38,53
"154","John Jasper",14,53
"155","John Jasper",73,53
"156","John Jasper",83,53
