"Character","Node"
"Bazzard",7
"Deputy",5
"Dick Datchery",6
"Durdles",12
"Edwin Drood",33
"Helena Landless",26
"Hiram Grewgious",29
"Jack Chinaman",2
"Joe",3
"John Jasper",46
"Lieutenant Tartar",7
"Lobley",1
"Luke Honeythunder",6
"Miss Brobity",1
"Miss Dean",1
"Miss Ferdinand",3
"Miss Giggles",2
"Miss Jennings",1
"Miss Rickitts",1
"Miss Twinkleton",20
"Mr Porters",1
"Mr Tope",10
"Mrs Billickin",4
"Mrs Crisparkle",9
"Mrs Dean",1
"Mrs Tisher",8
"Mrs Tope",6
"Neville Landless",36
"Princess Puffer",1
"Rosa Bud",37
"Septimus Crisparkle",40
"The Dean",10
"Thomas Sapsea",18
