"","Character","Node","Type","Appearances"
"1","Bazzard",46,"First Appearance",6
"2","Bazzard",92,"Last Appearance",6
"3","Deputy",18,"First Appearance",7
"4","Deputy",108,"Last Appearance",7
"5","Dick Datchery",82,"First Appearance",8
"6","Dick Datchery",109,"Last Appearance",8
"7","Durdles",107,"Last Appearance",14
"8","Durdles",16,"First Appearance",14
"9","Edwin Drood",5,"First Appearance",38
"10","Edwin Drood",110,"Last Appearance",38
"11","Helena Landless",22,"First Appearance",26
"12","Helena Landless",97,"Last Appearance",26
"13","Hiram Grewgious",34,"First Appearance",33
"14","Hiram Grewgious",103,"Last Appearance",33
"15","Jack Chinaman",103,"Last Appearance",2
"16","Jack Chinaman",1,"First Appearance",2
"17","Joe",90,"Last Appearance",3
"18","Joe",23,"First Appearance",3
"19","John Jasper",4,"First Appearance",53
"20","John Jasper",108,"Last Appearance",53
"21","Lieutenant Tartar",80,"First Appearance",8
"22","Lieutenant Tartar",100,"Last Appearance",8
"23","Lobley",100,"Last Appearance",2
"24","Lobley",99,"First Appearance",2
"25","Luke Honeythunder",78,"Last Appearance",8
"26","Luke Honeythunder",21,"First Appearance",8
"27","Miss Brobity",15,"First Appearance",1
"28","Miss Brobity",15,"Last Appearance",1
"29","Miss Dean",4,"First Appearance",1
"30","Miss Dean",4,"Last Appearance",1
"31","Miss Ferdinand",34,"First Appearance",3
"32","Miss Ferdinand",57,"Last Appearance",3
"33","Miss Giggles",57,"Last Appearance",2
"34","Miss Giggles",34,"First Appearance",2
"35","Miss Jennings",34,"First Appearance",1
"36","Miss Jennings",34,"Last Appearance",1
"37","Miss Rickitts",57,"First Appearance",1
"38","Miss Rickitts",57,"Last Appearance",1
"39","Miss Twinkleton",9,"First Appearance",23
"40","Miss Twinkleton",102,"Last Appearance",23
"41","Mr Porters",10,"Last Appearance",1
"42","Mr Porters",10,"First Appearance",1
"43","Mr Tope",108,"Last Appearance",10
"44","Mr Tope",4,"First Appearance",10
"45","Mrs Billickin",98,"First Appearance",5
"46","Mrs Billickin",102,"Last Appearance",5
"47","Mrs Crisparkle",21,"First Appearance",10
"48","Mrs Crisparkle",78,"Last Appearance",10
"49","Mrs Dean",4,"Last Appearance",1
"50","Mrs Dean",4,"First Appearance",1
"51","Mrs Tisher",86,"Last Appearance",8
"52","Mrs Tisher",10,"First Appearance",8
"53","Mrs Tope",5,"First Appearance",6
"54","Mrs Tope",108,"Last Appearance",6
"55","Neville Landless",22,"First Appearance",36
"56","Neville Landless",103,"Last Appearance",36
"57","Princess Puffer",108,"First Appearance",1
"58","Princess Puffer",108,"Last Appearance",1
"59","Rosa Bud",103,"Last Appearance",38
"60","Rosa Bud",10,"First Appearance",38
"61","Septimus Crisparkle",4,"First Appearance",42
"62","Septimus Crisparkle",108,"Last Appearance",42
"63","The Dean",4,"First Appearance",10
"64","The Dean",108,"Last Appearance",10
"65","Thomas Sapsea",14,"First Appearance",19
"66","Thomas Sapsea",111,"Last Appearance",19
